NUMBER	GLOSS	ORTH_NEEDHAM	PHON_NEEDHAM	ROMAN_MODERN	PHON_MODERN	ORTH_MODERN	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
142	knee	long´kü	lɒŋ.ky	lvungx.kuix	lɐuŋ₂kɨ₂	𖪮𖩻𖪇𖪐.𖪠𖪏		1371	KNEE
143	knife	yân´hî	jɑn.hi	yanx.hix	ʒan₂ hi₂	𖪥𖩷𖪬.𖪭𖪃		1352	KNIFE
144	kochu	dü	dy	tuiz	tɨ₁	𖪰𖪌		351	TARO
145	large	â´dil	ɑ.dɪl	v.dvlz	ə₀dɐl₁	𖩸.𖪱𖩸𖪮		1202	BIG
146	laugh, v	nî	ni	nhuiyx	n̪ɨi₂	𖪳𖪏𖪇		1355	LAUGH
147	leech	ta´wat	tʌ.wʌt	tv.wvt	tə₀βɐt₄	𖪰𖩸.𖪦𖩸𖪰	specifically terestrial leeches	2273	LEECH
148	leaf	nâm´yok	nɑm.jɒk	namx.yvuk	nam₂ʒɐuk₄	𖪬𖩷𖪫.𖪥𖩸𖪄𖪠		628	LEAF
149	leg	yâ	jɑ	yaz	ʒa₁	𖪥𖩴	the most general term including the foot	1297	LEG
150	lightning	rong´lep	rɒŋ.lɛp	rvungx.lep	rɐuŋ₂lep₄	𖪲𖩻𖪇𖪐.𖪮𖩼𖪧	lightning in the sky only, not while striking	1654	LIGHTNING
151	lip	na´warr	nʌ.wʌr	nuix.buirz	nɨ₂bɨr₁	𖪬𖪏.𖪪𖪌𖪲		478	LIP
152	light (not heavy)	â´chân	ɑ.ʧʰɑn	v.jawz	ə₀ʨɔ₁	𖩸.𖪵𖪈		1052	LIGHT (WEIGHT)
153	loin cloth	rî	ri	ruiyq	rɨiʔ₄	𖪲𖪌𖪂		1965	LOINCLOTH
154	look, v	lân	lɑn	lawx	lɔ₃	𖪮𖪋		1819	LOOK
155	louse	thik	tʰɪk	httuik	t̪ʰɨk₄	𖪸𖪌𖪠		1392	LOUSE
156	make, v	gür	gyr	ghuir	ɣɨr₃	𖪷ui𖪲		2575	DO OR MAKE
157	male	mî´wâ	mi.wɑ	miq.waz	miʔ₄βa₁	𖪫𖪂.𖪦𖩴		2106	MALE PERSON
158	many	â´pâng	ɑ.pɑŋ	v.pvungc	ə₀pɐuŋ₃	𖩸.𖪧𖩹𖪅𖪐		1198	MANY
159	mat	dam	dʌm	dvmx	dɐm₂	𖪱𖩻𖪫		195	MAT
160	monkey	vî´sil	βi.sɪl	wix.suilx	βi₂sɨl₂	𖪦𖪃.𖪤𖪏𖪮		1350	MONKEY
161	mortar for pounding paddy	thim, thüm	tʰɪm, tʰym	htuimz	tʰɨm₁	𖪯𖪌𖪫		224	MORTAR
162	pestle	thim´yâ	tʰɪm.jɑ	htuimz.yaz	tʰɨm₁ʒa₁	𖪯𖪌𖪫.𖪥𖩴		225	PESTLE
163	mother	n´yû	n.ju	nyuiuz	ɲɨu₁	𖪨𖪘		1216	MOTHER
164	moon	yâ´pî	jɑ.pi	yac.pix	ʒa₃pi₂	𖪥𖩵.𖪧𖪃		1313	MOON
165	mod	choâl	ʧʰɒɑl	jovlz	ʨoɐl₁	𖪵𖩰𖩸𖪮	fermented rice beer		
166	mouth	nürr	nyr	nuix	nɨ₂	𖪬𖪏		674	MOUTH
167	mud	bok	bɒk	bok	bok₄	𖪪𖩰𖪠		640	MUD
168	nail	yok´thin	jɒk.tʰɪn	yvuk.httuinc	ʒɐuk₄t̪ʰɨn₃	𖪥𖩸𖪄𖪠.𖪸𖪍𖪬		502	NAIL (TOOL)
169	name	ming	mɪŋ	muingc	mɨŋ₃	𖪫𖪍𖪐		1405	NAME
170	near	ân´yek	ɑn.jɛk	v.nyek	ə₀ɲek₄	𖩸.𖪨𖩼𖪠		1942	NEAR
171	nest	wûshanchîaṉ	wu.ʃʌn.ʧʰiʌ̃	wuz.shawx.jez	βu₁ʃɔ₂ʨe₁	𖪦𖪄.𖪴𖪋.𖪵𖩼		3549	BIRD NEST
172	net	châk	ʧʰɑk	jak	ʨak₄	𖪵𖩴𖪠		2963	NET
173	now	mâ´chû	mɑ.ʧʰu	mvyz.juiuc	mɐi₁ʨɨu₃	𖪫𖩸𖪀.𖪵𖪙		1376	NOW
174	old	â-kîoṉ	ɑ.kiɒ̃	v.kez	ə₀ke₁	𖩸.𖪠𖩼		2112	OLD (AGED)
175	old man	vî-kâṉwâ	βi.kɑ̃.wɑ	lix.kawx waz	li₂kɔ₂ βa₁	𖪮𖪃.𖪠𖪋 𖪦𖩴		406	OLD MAN
176	old woman	vî´krû	βi.kru	wiz.kuiux nyuiuz	βi₁kɨu₂ ɲɨu₁	𖪦𖪀.𖪠𖪛 𖪨𖪘		907	OLD WOMAN
177	petticoat	nî´sâ	ni.sɑ	nhuiyq.saz	n̪ɨiʔ₄sa₁	𖪳𖪌𖪂.𖪤𖩴			
178	woman's chudder	khaipâṉ	kʰɒi̯.pɑ̃	khvyz.parx	kʰɐi₁par₂	𖪡𖩸𖪀.𖪧𖩷𖪲			
179	pig	vak	βʌk	wvuk	βɐuk₄	𖪦𖩸𖪄𖪠		1337	PIG
180	pipe	yâ´tik	jɑ.tɪk	nyac.tuik	ɲa₃tɨk₄	𖪨𖩵.𖪰𖪌𖪠		2956	TUBE
181	place or put, v	tâ	tɑ	taq	taʔ₄	𖪰𖩶		998	PUT
182	poison	la´pû	lʌ.pu	lvpuz	lə₀pu₁	𖪮𖪒𖪧𖪄	posion gathered from leaves and put on arrows. not fish poison.	655	POISON
183	post	thung	tʰuŋ	thungz	tʰuŋ₁	𖪹𖪄𖪐		281	POST
184	plantain	yâm ṉgâ	jɑm.̃gɑ	nyapngak	ɲap₄ŋak₄	𖪨𖩴𖪧𖪣𖩴𖪠		399	PLANTAIN
185	rice	vûng	βuŋ	wungx	βuŋ₂	𖪦𖪇𖪐		3289	UNCOOKED RICE
186	cooked rice	dûng	duŋ	dungc	duŋ₃	𖪱𖪅𖪐		1191	COOKED RICE
187	rain	rang	rʌŋ	rvungx.yunc	rɐuŋ₂ʒun₃	𖪲𖩻𖪇𖪐.𖪥𖪅𖪬		2108	RAINING OR RAIN
188	red	kaishân	kɒi̯.ʃɑn	v.shawx	ʃɔ₂	𖩸.𖪴𖪋		156	RED
189	ring	yoktû´op	jɒk.tu.ɒp	yvuk.top	ʒɐuk₄top₄	𖪥𖩸𖪄𖪠.𖪰𖩰𖪧		1374	RING
190	ripe	â´muin	ɑ.muɪn	muinx	mɨn₂	𖪫𖪏𖪬		178	RIPE
191	river, also water	yeng	jɛŋ	yuix	ʒɨ₂	𖪥𖪏		666	RIVER
192	road	lam	lʌm	lvmx	lɐm₂	𖪮𖩻𖪫		2457	PATH OR ROAD
193	roof of house	ship, shüp	ʃɪp, ʃyp	shuip	ʃɨp₄	𖪴𖪌𖪧	covering the roof beams. roof today is /βu₂kʰu₂/	769	ROOF
194	run	yû	ju	yuz	ʒu₁	𖪥𖪄		1519	RUN
195	salt	shûm	ʃum	shumz	ʃum₁	𖪴𖪄𖪫		1274	SALT
196	sand	phâṉ	pʰɑ̃	phawx	pʰɔ₂	𖪩𖪋	gravel or sand at the bank of a river	671	SAND
197	see, v	khî	kʰi	khiz	kʰi₁ / kʰi₃	𖪡𖪀		1409	SEE
198	seek, v	thî	tʰi	thuiyx	t̪ɨi₂	𖪹𖪏𖪇		1468	LOOK FOR
199	seize, v	lû	lu	luz	lu₁	𖪮𖪄		855	SEIZE
200	sell, v	shong	ʃɒŋ	shvungz	ʃɐuŋ₁	𖪴𖩸𖪄𖪐		1571	SELL
201	send, v	târ	tɑr	tvghurx	tə₀ɣur₂	𖪰𖪒𖪷𖪇𖪲		1127	SEND
